pool_identifier,pool_id,pool_name,active_stake,active_pledge,fixed_cost,margin,saturation,lifetime_luck,recent_luck,lifetime_roa,recent_roa
n/a,pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,n/a,120412255336563,0,340000000,0.05,1.5585,0.9875562542615242,0.9939223274697596,2.3273844733401345,1.4466999168854855
Trust Nodes,pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,Trust Nodes,116019938594808,7950300840,340000000,0.1,1.5034,1.0060711074039481,1.0513833517431896,2.1162117634333404,1.3024331977447676
Kiln,pool1k3nkfa5ugavrpd9nwd3s6yyx454qxnquxwmux4rzfunl7q0z38t,Kiln,95355618720456,3209027492,340000000,0.05,1.2395,0.8845438036249841,0.8047222832627049,1.4716097050280517,1.2473826574275206
Ledger by Figment 2,pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,Ledger by Figment 2,93071444337246,9816417,170000000,0.06,1.2053,0.97390388932319,1.0066721417669373,2.1380205089598556,1.6292782416035
Figment 2,pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,Figment 2,115204267143934,9635210,170000000,0.1,1.1662,1.014287572271936,1.0316051295853028,2.0740041869768384,1.1033002533817236
Ledger by Figment 4,pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,Ledger by Figment 4,82422914231480,9816417,170000000,0.06,1.0785,0.9469814818023488,1.0317038544551738,1.7701201993571498,1.8263044205739227
#1 Nordic Pool,pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,#1 Nordic Pool,77957322058206,11005441921,340000000,0,1.0114,0.984459724018924,1.0120200182665566,3.331774912720047,2.0460708022027383
ADAvault,pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADAvault,76721368630793,256699287115,340000000,0,0.9987,0.9978306179899327,0.9651499844753114,3.4697218838540924,1.9588357311338853
Cardano Suisse,pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,Cardano Suisse,76656010743267,5066574428589,170000000,0,0.9952,0.9749592133847153,0.9341479715425928,2.5732982758569767,1.9461366617941476
Cardano Foundation - Private,pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,Cardano Foundation - Private,76315092569213,76301499928745,170000000,1,0.9918,1.0064082117855115,0.9939346441256933,0,0
