x,y
0.05,120.412255336563
0.1,116.011988293968
0.05,95.352409692964
0.06,93.071434520829
0.1,115.204257508724
0.06,82.422904415063
0,77.946316616285
0,76.464669343678
0,71.589436314678
1,0.013592640468
1,0.001624378598
1,0.00230159225
1,0.001184864725
1,0.000360825052
1,0.06272105734
1,0.055161069598
0.04,12.985730598386
0.05,75.234336108669
0.03,75.895272009788
0.03,75.89055542896
0.03,75.52296633072
1,0.000019825699
1,0.030077545219
0.01,74.718416418019
0.04,0.834679060502
0.04,1.112920493002
0,73.841244644748
0.04,18.710935047276
0,74.022472670594
1,0.010469019839
0.03,73.910751324109
0,72.625435855164
0,74.191850828304
0,73.507713844672
0,73.325135880477
1,0.061348268269
0,71.57334264158
0.03,72.771001834607
0,71.847878302985
0.01,70.133428040924
0.02,71.141488699152
0,65.997658251843
0.03,70.888502268399
0,70.943091324892
0,69.960041402942
0.05,70.537013255154
0.05,70.324793620984
0.05,70.335186551868
0.04,33.527545806574
0.05,70.198688815841
0.05,70.188563822574
0.05,70.077513164519
0.05,70.047534453393
0.05,70.049978336823
0.05,70.043180366844
0.05,70.039282367424
1,70.045041024627
0.05,70.024325377972
0.05,70.02064469399
0.05,70.026096174571
0.05,70.028121327331
0.05,70.018847642408
0.05,70.025629707487
0.05,70.021149508108
0.05,70.017452130421
1,70.00000128854
0.05,70.018899873952
0.05,69.195792561678
0.03,68.853398306875
0.01,65.402586845308
0.01,67.876409946834
0.03,67.966953994894
0.01,68.224874677785
0.01,66.318619206772
0.005,68.009521935132
0.05,71.587256739107
1,61.51980342487
0.01,66.718782968069
0,68.825227541544
0.005,64.864128392762
0.08,65.059669501433
0.009,64.25830324394
0.0085,63.871577227221
0.005,64.007400872959
0,63.613305445171
1,0.000002419563
0.01,66.408562807944
0.01,63.660761096148
0,67.458751494509
0.015,59.985665883403
0,58.308965458355
0.1,61.618925180594
0.01,59.66581088354
0,63.000547543682
0.03,60.86079313191
0.02,59.73155851295
0.04,61.433924139148
0.015,61.659570840568
0.05,60.13011924541
0,61.019936948917
0.1,59.470581543895
0.025,59.294408535952
0.009,57.48931344899
0,58.061893930684
0.01,58.917382559211
0.05,58.776390977302
0.03,58.675910070021
0.04,59.647887686498
0.03,80.558017280632
0.0199,59.129807854658
0.015,57.459482302088
0.03,57.692004140335
0.05,35.155321058325
0.05,50.263112909977
0.01,56.92501582578
0.05,56.202802942384
0.08,55.698707630943
0,61.666025139276
1,57.000082283388
0.03,56.62130379939
0.02,52.520560979998
0,56.085815201863
0.0069,56.556707563396
0.01,55.921476758622
0.0199,53.301970839334
0.03,56.074440418831
0.04,56.245207041827
0.02,56.133344288915
0.005,55.608097907398
0.06,55.979743799937
0.03,54.361399059488
0.015,51.142537798368
1,54.629253936859
0.009,51.677042756123
0.05,54.721374848727
0.02,54.044985245319
0.01,53.679314012584
0.03,52.915201317624
0.03,52.588461187997
0.01,50.630566931912
0.04,52.162245449902
0,54.085451631079
0.01,51.27460141494
0.025,49.708095716437
0.04,50.385566009939
0.1,50.333693605829
0.025,50.639154112651
0.025,51.415248455567
0.035,50.385475299401
1,50.006984890733
1,50.000384777198
1,50.000222190313
1,50.000194057692
1,50.000075643364
1,49.999974616946
0.01,48.754177873631
0.01,49.435928970305
0.01,48.648771089581
0.0399,49.201546147955
0.01,49.224998390668
0.01,49.704230820197
0.08,47.889740183712
0.025,49.27079244214
0.025,48.005326666789
0.015,42.644493030741
0.009,48.164502434197
0.025,47.625121993153
0.02,46.713962446779
0.039,51.646624619236
0.01,46.248161830536
0,46.870928383209
0.02,44.463114698077
0,45.255179651768
0.02,45.326253654074
0.01,45.245982426753
0.04,45.481372675955
0.02,45.086174390182
0.03,45.222373117088
0.02,16.085806960961
0.03,46.234078579743
0.001,41.787135716085
0.02,44.005416046983
0,43.126283551356
0,42.822848555102
0.02,44.140763780874
0.037,42.494734634867
0.015,42.683226476317
0.1,40.824422294082
1,4.7239945542
0,40.904728902838
0.04,16.923232340027
0.008,41.079170968685
0.03,41.470118349809
0.1,41.113143748817
0,40.799045364356
0.04,40.877660042195
0.04,40.652842053173
1,40.720163472387
0.039,40.170432568246
0.039,40.022108889946
0,38.044159901075
1,1.306911550737
0.04,38.274990369308
0.06,38.267589962896
0.015,38.750891962947
0.05,36.722910324377
0,33.08612741183
0.05,37.633566162817
0.02,36.63808742221
0.05,36.576114483496
0.02,36.062257233143
0.01,35.788687276867
0.1,36.718664864637
0.03,36.248702974282
0.039,36.07690511844
0.0399,35.610998457675
0.05,35.712396335576
1,0.016522963753
1,0.020252261879
1,0.021828605568
0.025,35.715001708763
0.009,35.625901815356
1,0.028049996408
1,0.023065855102
0.03,35.803557978574
1,0.023066583306
1,0.026497732149
1,0.019642187871
1,0.023380094741
0.01,35.450118489796
0.02,35.270444832364
0.04,33.786279075739
0.04,35.238239729428
0.05,35.448324965794
0.03,35.410874964144
0.05,35.010980807741
0.03,34.835532050763
0.05,35.024284136692
0.05,35.040446114785
1,0.019327747695
0.05,35.017335801301
0.05,35.014294903783
0.05,35.011731457454
0.05,35.012047357624
0.05,35.011224730402
1,0.020884381345
1,0.019950401124
0.05,33.557009239414
0.03,34.624607657843
0.03,34.481112475703
0.05,33.8639740354
0.0299,36.554105227281
1,0.02243883187
0.02,33.098447856851
0.02,33.074512320901
0.06,33.293501090655
0.06,33.24013177831
0.0099,31.60290551144
0.04,33.509571209216
0.06,33.144862204664
0.06,33.098102109091
0.06,33.093832725939
0.04,33.025517625223
0.01,30.604559901127
0.03,32.685460347903
0.025,32.756476217323
0.06,32.091874167754
0.04,28.263318602786
0.06,32.206229700286
0.06,32.114132200472
0.06,32.114981009731
0.06,32.063212391228
0.06,0.071223382625
0.06,32.065960436551
0.06,0.054277644965
0.06,0.035030899672
0.06,32.005989749808
0.06,32.002490228596
0.02,30.73008550565
0.01,31.629426381584
0.015,29.969739213571
0.01,36.356493270713
0.05,31.508147570337
0,32.942961884883
0.0215,23.06200457501
0.025,30.662976627102
0,30.554811518121
0.025,30.558287864317
0.019,28.830920823788
0.1,30.48854015854
0.02,30.063787144284
0.04,29.066888183665
0.03,30.010434652464
0.0199,29.190978888439
0.0215,21.530225461936
0.018,29.119763819288
0.99,29.591208878361
1,0.017456128359
0.03,28.599306036648
0.01,27.62782804541
0.0199,27.670380971633
0.025,26.498928470918
1,27.062886979739
0.01,27.339172908494
0.025,28.08315414945
0.01,27.876618953762
0.048,26.957899957995
0.008,26.816153697371
0.02,26.943051709128
0.03,26.763978959801
0.02,26.348591882843
0.9999,26.505966896268
0.03,22.828492394463
0.05,25.525133744365
0.06,26.425848270951
0.03,25.843076580442
0.02,25.410665579852
0.03,25.447463796928
0.0035,25.465094432615
0.999,25.04596361381
0.025,25.679823568001
0.9999,25.107410177487
0.037,24.650567670886
0.015,21.640621071086
0.03,24.345174703024
0.05,24.091806722743
0.03,24.142867478517
0.05,23.704755054584
0.05,23.914067960587
0.008,23.895196240547
0.05,23.531937216565
0.05,23.455616941035
0.048935,23.213573846704
0.025,22.892222087653
0.01,22.260346613383
0.05,22.66527349875
0.03,21.831950085023
0,22.39372492697
1,2.37961493402
0.02,21.826578650035
0.0399,21.870048426111
0.1,21.879360994104
0.02,21.569959215236
0.02,18.849010570145
0,21.462131648212
0.05,21.303560066688
0.99,21.770771507548
0.05,21.740033137521
0.02,20.839478524807
0.0399,20.802928246159
0.01,20.682805948649
0,20.888796857453
0,20.330789992245
0.048935,20.07630654665
0,19.401055282515
0.02,19.338974063231
0.3,19.529641751739
0,19.396138827617
0.0169,19.004130035552
0,18.966237616029
1,18.969944964007
0.015,19.065418997061
0.9999,19.075688762634
0.03,18.899453035927
0.03,18.583017867167
0.0149,18.846993406261
0.15,18.780226844727
0.99,18.977029907961
0.01,17.771735084691
0.03,18.608764914728
0.005,18.176778871384
0.9999,18.47585869676
0.048,18.365376754436
0.99,18.18562788463
0.05,18.252444532499
0.1,18.0630969479
0.01,17.855663112796
0.025,21.672565856979
0.02,17.738166597844
0.01,19.584798696936
0,17.311391154689
0.9999,17.592853514681
0.025,17.314307107763
0.01,17.194139080297
0.019,17.168768492204
0.01,16.539363105921
0.1,17.173451367922
0.04,17.129175703832
0.02,16.644887913627
0.05,16.985914077408
0.01,19.22407314657
0.1,10.0238168379
0.05,16.787597346553
0.0189,15.991327070962
0.0349,17.66774011032
0.03,16.468042413882
0.01,16.288302949355
0.009,17.813888890003
0.02,12.668538139432
0.99,16.3395876344
0.039,15.977496092693
0.01,15.853760953787
0.04,14.920735187527
0.01,15.796278850903
0.008,14.763361516124
