pool_id,pool_identifier,epoch_no,delegators_t,delegators_lag1,delta_delegators,delta_log_delegators,lag1_luck,lag1_log_pledge,lag1_log_stake,lag1_margin_proxy,lag1_block_minted,lag1_log_delegators,has_lag2,lag2_luck,lag2_log_stake,lag2_log_delegators
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,n/a,609,25.0,25.0,0.0,0.0,1.0745,0.0,18.35299017353136,1.924,87.0,3.258096538021482,0,,,
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,n/a,610,25.0,25.0,0.0,0.0,0.9659,0.0,18.35325346099595,1.68,78.0,3.258096538021482,1,1.0745,18.35299017353136,3.258096538021482
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,n/a,613,24.0,24.0,0.0,0.0,0.8852,0.0,18.615713076851026,1.207,82.0,3.2188758248682006,0,,,
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,n/a,614,24.0,24.0,0.0,0.0,1.0684,0.0,18.615878404525375,1.458,99.0,3.2188758248682006,1,0.8852,18.615713076851026,3.2188758248682006
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,n/a,615,24.0,24.0,0.0,0.0,1.1473,0.0,18.60643188247336,1.58,140.0,3.2188758248682006,1,1.0684,18.615878404525375,3.2188758248682006
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,Trust Nodes,609,21707.0,21692.0,15.0,0.0006912283402336072,1.1063,9.014386098987067,18.51229926345908,1.579,122.0,9.984744906843062,0,,,
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,Trust Nodes,610,21733.0,21707.0,26.0,0.0011969984395019395,1.0362,9.326926925377506,18.517763676042712,1.484,114.0,9.985436135183296,1,1.1063,18.51229926345908,9.984744906843062
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,Trust Nodes,613,21800.0,21791.0,9.0,0.0004129103355072772,0.9993,7.9901184766585,18.564442962278868,1.357,113.0,9.989298208949238,0,,,
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,Trust Nodes,614,21840.0,21800.0,40.0,0.0018330970716657902,1.0699,8.633182545075325,18.56564319667689,1.447,122.0,9.989711119284745,1,0.9993,18.564442962278868,9.989298208949238
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,Trust Nodes,615,21869.0,21840.0,29.0,0.0013268973144029417,1.0265,8.981090821935785,18.56927262735741,1.38,119.0,9.991544216356411,1,1.0699,18.56564319667689,9.989711119284745
