pool_identifier,pool_id,pool_name,active_stake,active_pledge,fixed_cost,margin,saturation,lifetime_luck,recent_luck,lifetime_roa,recent_roa
PRIME Pool India,pool15wppycnx4mgq5nmwg4eyzj4pg5wazhyml48wsy0jskunsqq69gh,PRIME Pool India,0,0,175000000,0.02,0.0072,0,0,0,0
yoourada,pool1gyrvar6gwyad7u2rsryeg49dgqtsp99k4903knwj5eq9qmu5jlj,yoourada,0,0,340000000,0.02,0.0043,0,0,0,0
Adablox,pool13q9w8c2namcec725euu7pfjnzz2fj9h5k2wjtafysnwnqdcrwg7,Adablox,0,0,170000000,0,0.0025,0,0,0,0
TENK Stake Pool,pool1ee3fptp2m7z8a32yeg9cwq4kvehh5xeyv2547u2rqz85qqxaxnc,TENK Stake Pool,0,0,170000000,0,0.0009,0,0,0,0
CCSP,pool17yme8t7ehfy6wamdtxyg6srz2vlk73q5vucp6jhtf4yuuuelc5z,CCSP,0,0,170000000,0.02,0.0001,0,0,0,0
pool16j2sst4yl703nhdyx8snk9ld5rwjga6a4fk203ptedztq7uza5f,pool16j2sst4yl703nhdyx8snk9ld5rwjga6a4fk203ptedztq7uza5f,,0,0,340000000,0.075,0,0,0,0,0
VENABLES-Babymetal,pool1peps5qt7kjcnsfh530hya9wa7ww5rplvw3n73efk800mk4unsyg,VENABLES-Babymetal,0,0,340000000,0,0,0,0,0,0
pool139ds596tpxew8mhvu77p4mk42ed25d62ah2ucwlwemn6xltj4ws,pool139ds596tpxew8mhvu77p4mk42ed25d62ah2ucwlwemn6xltj4ws,,0,0,340000000,0.02,0,0,0,0,0
pool1vhsjmemxqg3ktv4hwqc09cxhhg6td86n9p3qwg5t5y6xc4dcddp,pool1vhsjmemxqg3ktv4hwqc09cxhhg6td86n9p3qwg5t5y6xc4dcddp,,0,0,340000000,0.02,0,0,0,0,0
Stakehub,pool1tk3x77en700tk4w47xm8vzr0p490m29q6dknt77pakdyc4qmw65,Stakehub,0,0,340000000,0.02,0,0,0,0,0
Fail Pool,pool19c39hucr2p6ra4v6c5qwqt4zgc6ugchu7cs4yal7ndetsnrmzju,Fail Pool,0,0,340000000,0,0,0,0,0,0
pool1renn86d9mty7jdq2qy32xk9lyl0lydcqx337e4504fzvvcye532,pool1renn86d9mty7jdq2qy32xk9lyl0lydcqx337e4504fzvvcye532,,0,0,340000000,0,0,0,0,0,0
pool1hzy8quep7xkajxx8lep59y2erqll3cr440zm90ctej4hchyfedg,pool1hzy8quep7xkajxx8lep59y2erqll3cr440zm90ctej4hchyfedg,,0,0,340000000,0.02,0,0,0,0,0
MyCointainer.com,pool1js763t3yw63ffsxqpume8974z03hdlm4nddnezhfla6dskln37v,MyCointainer.com,0,0,340000000,0.01,0,0,0,0,0
pool1kxfvv8e8u9crfgy3fp89hlchehutrjq9wv7hax7dxs3lsjuw9kc,pool1kxfvv8e8u9crfgy3fp89hlchehutrjq9wv7hax7dxs3lsjuw9kc,,0,0,340000000,0,0,0.1937823139693569,0,0.41154785938040894,0
pool12fvqhdv6wx77zkjdq06k5ylzswd06w7yavt8fd6sm5pwk30k9l4,pool12fvqhdv6wx77zkjdq06k5ylzswd06w7yavt8fd6sm5pwk30k9l4,,0,0,360000000,0.05,0,0,0,0,0
pool14tdqa54j9kwhxpx3q55zrgt2gc8lqk9trkhfe7m36fhp7jjzf6w,pool14tdqa54j9kwhxpx3q55zrgt2gc8lqk9trkhfe7m36fhp7jjzf6w,,0,0,369000000,1,0,0,0,0,0
pool1dqq4ugkrkpwhray2z8jvk8nvnpnq3gm3g2stz4wmusap6tkuclw,pool1dqq4ugkrkpwhray2z8jvk8nvnpnq3gm3g2stz4wmusap6tkuclw,,0,0,340000000,0.03,0,0,0,0,0
pool16x6ckf653xdu6rdhmxvu3e50gldhzk6rrd9ds86ksu97jexw7m8,pool16x6ckf653xdu6rdhmxvu3e50gldhzk6rrd9ds86ksu97jexw7m8,,0,65527841700,340000000,0,0,0,0,0,0
pool1lrd3lza7r2a3uf4z9y52zf792kmmgqpxgl8suaz88g7fg7sdw3g,pool1lrd3lza7r2a3uf4z9y52zf792kmmgqpxgl8suaz88g7fg7sdw3g,,0,0,340000000,0.02,0,0,0,0,0
pool1ezs46e9nftk46w723zg4e66n2vaytms5slrmywvd7fx5y65zkru,pool1ezs46e9nftk46w723zg4e66n2vaytms5slrmywvd7fx5y65zkru,,0,0,340000000,1,0,0.9881731089681784,0,0,0
pool10nug2zc80t6tz64awqr0362kfsh6yvje6xz2a6appzhzwe25nc5,pool10nug2zc80t6tz64awqr0362kfsh6yvje6xz2a6appzhzwe25nc5,,0,0,340000000,0,0,0,0,0,0
pool13hpkh9ljtsa4896evualpvky8rcr89qtzvfdns64qtlp7pe93nn,pool13hpkh9ljtsa4896evualpvky8rcr89qtzvfdns64qtlp7pe93nn,,0,0,340000000,0,0,0,0,0,0
eToro Pool 18,pool1uavevsqnddgyg9nrkn04f79qlx6x87a4ysvdvtxacvkfuzpva08,eToro Pool 18,0,0,340000000,1,0,0,0,0,0
pool1u6r6439cne2ymaa2sn98c4l8wqkgcsg6pj3wr523j92f6744qcu,pool1u6r6439cne2ymaa2sn98c4l8wqkgcsg6pj3wr523j92f6744qcu,,0,0,340000000,0.01,0,0,0,0,0
pool1ap6fj6xllhlc3xuuq7uvz0ed2wjws08f7h680xcgq47qk2pvnme,pool1ap6fj6xllhlc3xuuq7uvz0ed2wjws08f7h680xcgq47qk2pvnme,,0,0,340000000,0.008,0,0,0,0,0
pool1g90xrq0qrgn7z9xdfpx6xlgxwedf7unrcmh2drj7j70hxr35jxk,pool1g90xrq0qrgn7z9xdfpx6xlgxwedf7unrcmh2drj7j70hxr35jxk,,0,0,340000000,0.03,0,0,0,0,0
pool1pnpdsl0cungyn362fgp0lk8wt34xh68fywljnvtq9dtkk2sd8qv,pool1pnpdsl0cungyn362fgp0lk8wt34xh68fywljnvtq9dtkk2sd8qv,,0,0,340000000,0.03,0,0,0,0,0
2 Relays 1 Core,pool1e68hwymvfqxss0v29tgu95j0q8rv79z76l54wm4s0625klfq6y6,2 Relays 1 Core,0,0,340000000,0.05,0,0,0,0,0
pool16rq0nmr3pr202a7dcf9507gy5u3sh9j6dw8jjwp3dg4qc6cqj0f,pool16rq0nmr3pr202a7dcf9507gy5u3sh9j6dw8jjwp3dg4qc6cqj0f,,0,0,340000000,0.02,0,0,0,0,0
pool159nu5jnr7jc58hqaw880qtpzsq72q9pc9w3r88reeuyh702apfe,pool159nu5jnr7jc58hqaw880qtpzsq72q9pc9w3r88reeuyh702apfe,,0,0,340000000,0.025,0,0,0,0,0
pool1q4l2wpswlanqszppj4tcvgw4j9wdjmadqky57dq0wqhg5tmhsxn,pool1q4l2wpswlanqszppj4tcvgw4j9wdjmadqky57dq0wqhg5tmhsxn,,0,15433567101,345000000,0.05,0,0,0,0,0
pool1fqnluegrkns2jj49vgvn8vvn5u8y4m2m3xptx4wngvf4cnwa2fk,pool1fqnluegrkns2jj49vgvn8vvn5u8y4m2m3xptx4wngvf4cnwa2fk,,0,0,340000000,0.02,0,0,0,0,0
Input Output Global (IOHK) - Private,pool1szgruqm2dlhkh5qh7rft28xz9gkxj6rzfncsuquf3vm37k63kqv,Input Output Global (IOHK) - Private,0,0,500000000,1,0,1.0350666445164347,0,0,0
pool1l5a4689wchd3vrdzck70ysdcn5d390um6ge4x4rzx79vzmgwvf0,pool1l5a4689wchd3vrdzck70ysdcn5d390um6ge4x4rzx79vzmgwvf0,,0,0,400000000,0.035,0,0,0,0,0
UPLAY POOL,pool1qdw8vw3tk20e4lgcd9evd9u4hxj8zekdg2qpmnzdk83dcncavpd,UPLAY POOL,0,0,345000000,0.02,0,0,0,0,0
LunaPool,pool1uc4hd4qe0uf9dl9ajjxxyclvn6cxhhctfmzy82lsppwfq6a9hvd,LunaPool,0,1144215040,340000000,0,0,0,0,0,0
pool19ccud9eawdghzqg8425g8upxqws9r64f35f3cvv3vpxdcl879cn,pool19ccud9eawdghzqg8425g8upxqws9r64f35f3cvv3vpxdcl879cn,,0,0,340000000,0.05,0,0,0,0,0
BigRoi StakePool,pool1y90zp3ysrwzttwqhm2gjc7gp4d7tg2n6zsw3sp3lyk7vjxc56d6,BigRoi StakePool,0,0,340000000,0.025,0,0,0,0,0
pool1guzmpktw0h98ezwgekzcvw2wgmf58a3egcjaecx2yv8esrtv8tw,pool1guzmpktw0h98ezwgekzcvw2wgmf58a3egcjaecx2yv8esrtv8tw,,0,0,340000000,0.02,0,0,0,0,0
pool1eesa3kdfavq33kd3f3ajwh4mg9sal76fp348en5u37435g4h4ca,pool1eesa3kdfavq33kd3f3ajwh4mg9sal76fp348en5u37435g4h4ca,,0,0,340000000,0,0,0,0,0,0
pool10n5e9hupkx0fs39fmhzpusdhd25vh6twxyq2n5dncegpkumhuz5,pool10n5e9hupkx0fs39fmhzpusdhd25vh6twxyq2n5dncegpkumhuz5,,0,0,340000000,0.045,0,0,0,0,0
pool19gspsgyjq9hdkm9crrr7n00fn5p62udpcujw5mjv86u0xua9yxr,pool19gspsgyjq9hdkm9crrr7n00fn5p62udpcujw5mjv86u0xua9yxr,,0,0,340000000,0.01,0,0,0,0,0
pool1ajrl335z92udy65gxlgsrvthf9esfksp6m2yf3y7qcn7jqp0zsc,pool1ajrl335z92udy65gxlgsrvthf9esfksp6m2yf3y7qcn7jqp0zsc,,0,0,340000000,0.03,0,0,0,0,0
pool1mtmjss36km0v4qzn4eqvv440ed9flwqtkp4g8lp0ueu8zy6hvpl,pool1mtmjss36km0v4qzn4eqvv440ed9flwqtkp4g8lp0ueu8zy6hvpl,,0,942823411,345000000,0.005,0,0,0,0,0
pool1tq03j8aa5myedlr8xj6tltstdsn5eprxq4cd4qr54mhv25unsyk,pool1tq03j8aa5myedlr8xj6tltstdsn5eprxq4cd4qr54mhv25unsyk,,0,0,340000000,0.05,0,0,0,0,0
pool1d344pwef7yphfhjn097gy3kgemvl8ldkdad83cv42eusvj7kqsl,pool1d344pwef7yphfhjn097gy3kgemvl8ldkdad83cv42eusvj7kqsl,,0,0,345000000,0.06,0,1.042909337891686,0,5.270202629034891,0
Input Output Global (IOHK) - Private,pool1pmknsy9yqh06fpmduf8vzcvkzpllygjj8uzkjccgvewtq9uc53k,Input Output Global (IOHK) - Private,0,0,500000000,1,0,1.0110999999999999,0,0,0
pool1lelfqaufr7mmmdkaaqd8e78a762c6ddlrnkkaepkk70nyp7ku25,pool1lelfqaufr7mmmdkaaqd8e78a762c6ddlrnkkaepkk70nyp7ku25,,0,0,340000000,0,0,0,0,0,0
VelociCoin,pool1t490d5nsl9v354mrppk4j8hla4n60gxjn206jfaxh4jts93tqpp,VelociCoin,0,0,340000000,0.01,0,0,0,0,0
[EMUR6] Emurgo #6,pool1xnfhm27l9sts2mq85qp2dp0yhw5xw0nt7vxxaa4a89zngykvxu4,[EMUR6] Emurgo #6,0,0,340000000,0.01,0,0,0,0,0
Input Output Global (IOHK) - Private,pool1tjaz8a62743k5tzdd8lyd0sgf2lcvtk09jsz9etvas82zdamc2q,Input Output Global (IOHK) - Private,0,0,500000000,1,0,1.0007800000000002,0,0,0
