pool_id,pool_identifier,epoch_no,epoch_stake_lovelace,pledged_lovelace,luck,delegators,block_minted,reward_member_pct
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,n/a,615,120463300915246.0,0.0,0.8689,24.0,106.0,0.0
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,n/a,614,120412255336563.0,0.0,1.1473,24.0,140.0,1.58
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,n/a,613,121555121929819.0,0.0,1.0684,24.0,99.0,1.458
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,n/a,612,121535027165196.0,0.0,0.8852,24.0,82.0,1.207
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,n/a,610,91489916303466.0,0.0,0.9724,25.0,91.0,1.734
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,n/a,609,93479568372380.0,0.0,0.9659,25.0,78.0,1.68
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,n/a,608,93454959613300.0,0.0,1.0745,25.0,87.0,1.924
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,Trust Nodes,615,115652622383384.0,10682470186.0,1.1465,21869.0,133.0,0.0
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,Trust Nodes,614,116019938594808.0,7950300840.0,1.0265,21840.0,119.0,1.38
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,Trust Nodes,613,115599615494670.0,5613919582.0,1.0699,21800.0,122.0,1.447
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,Trust Nodes,612,115460952089495.0,2950646640.0,0.9993,21791.0,113.0,1.357
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,Trust Nodes,610,111681883958509.0,14534814558.0,0.9659,21733.0,106.0,1.361
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,Trust Nodes,609,110195174699432.0,11235547624.0,1.0362,21707.0,114.0,1.484
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,Trust Nodes,608,109594665005307.0,8219498237.0,1.1063,21692.0,122.0,1.579
pool1k3nkfa5ugavrpd9nwd3s6yyx454qxnquxwmux4rzfunl7q0z38t,Kiln,615,95374061260262.0,4752729491.0,0.9722,6.0,93.0,0.0
pool1k3nkfa5ugavrpd9nwd3s6yyx454qxnquxwmux4rzfunl7q0z38t,Kiln,614,95355618720456.0,3209027492.0,1.0347,6.0,99.0,1.796
pool1k3nkfa5ugavrpd9nwd3s6yyx454qxnquxwmux4rzfunl7q0z38t,Kiln,613,95323477479556.0,1636082397.0,1.3268,6.0,128.0,2.315
pool1k3nkfa5ugavrpd9nwd3s6yyx454qxnquxwmux4rzfunl7q0z38t,Kiln,612,95299063926684.0,101436263.0,1.0058,6.0,97.0,1.753
pool1k3nkfa5ugavrpd9nwd3s6yyx454qxnquxwmux4rzfunl7q0z38t,Kiln,610,95249858614510.0,2949585680.0,0.9935,6.0,87.0,1.74
pool1k3nkfa5ugavrpd9nwd3s6yyx454qxnquxwmux4rzfunl7q0z38t,Kiln,609,95252171628627.0,2633876578.0,0.0,6.0,0.0,0.0
pool1k3nkfa5ugavrpd9nwd3s6yyx454qxnquxwmux4rzfunl7q0z38t,Kiln,608,87452171628627.0,1964998537.0,0.0,6.0,0.0,0.0
pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,Ledger by Figment 2,615,92701798263796.0,9816417.0,0.9537,8894.0,89.0,0.0
pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,Ledger by Figment 2,614,93071444337246.0,9816417.0,1.0913,8904.0,102.0,1.933
pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,Ledger by Figment 2,613,92993247911205.0,9816417.0,0.9058,8906.0,85.0,1.606
pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,Ledger by Figment 2,612,93089423279086.0,9816417.0,1.0777,8913.0,101.0,1.916
pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,Ledger by Figment 2,610,92566591692254.0,9816417.0,0.8657,8948.0,80.0,1.551
pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,Ledger by Figment 2,609,91501944093861.0,9816065.0,0.9568,8977.0,89.0,1.732
pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,Ledger by Figment 2,608,92290931824470.0,9816065.0,1.2204,8986.0,114.0,2.196
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,Figment 2,615,89734278293162.0,9816417.0,0.9748,58.0,97.0,0.0
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,Figment 2,614,115204267143934.0,9635210.0,0.9722,58.0,115.0,1.332
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,Figment 2,613,99150573265192.0,9816065.0,1.033,58.0,150.0,1.648
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,Figment 2,612,117814323513431.0,2636337686.0,0.9228,59.0,147.0,1.24
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,Figment 2,610,157339431519380.0,9816417.0,1.0644,58.0,169.0,1.077
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,Figment 2,609,158502929731447.0,9816065.0,1.0242,57.0,152.0,1.029
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,Figment 2,608,158555561182301.0,9816417.0,1.1405,56.0,170.0,1.148
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,Ledger by Figment 4,615,82760830932423.0,9816417.0,0.993,5044.0,79.0,0.0
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,Ledger by Figment 4,614,82422914231480.0,9816417.0,1.0683,4943.0,79.0,2.038
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,Ledger by Figment 4,613,79275752508153.0,9816417.0,1.1364,4838.0,81.0,2.162
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,Ledger by Figment 4,612,73656123194208.0,9816417.0,1.0834,4719.0,76.0,2.186
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,Ledger by Figment 4,610,69286282132377.0,9816417.0,0.9528,4508.0,62.0,1.926
